alpha,gamma,graph type,entropy
0.01,0.01,remote,2.1417386923464155
0.01,0.01,remote,2.0473004620651674
0.01,0.01,remote,2.1379426596461584
0.01,0.01,remote,2.037285190859713
0.01,0.01,remote,1.9689207360963867
0.01,0.01,remote,1.9773498014567636
0.01,0.01,remote,2.0643628541207706
0.01,0.01,remote,2.198746294189929
0.01,0.01,remote,2.0242201026872073
0.01,0.01,remote,2.2040343570794523
0.01,0.01,remote,1.8620102055501333
0.01,0.01,remote,2.0681019680083716
0.01,0.01,remote,2.064728976973929
0.01,0.01,remote,2.1980372495025366
0.01,0.01,remote,2.1121240932239584
0.01,0.01,remote,2.0994960852420816
0.01,0.01,remote,1.986011526988536
0.01,0.01,remote,2.042029016503048
0.01,0.01,remote,2.086669382600932
0.01,0.01,remote,2.199880671847777
0.01,0.01,remote,1.9507483186173953
0.01,0.01,remote,2.072935222777679
0.01,0.01,remote,1.9362717625813113
0.01,0.01,remote,2.155316111499424
0.01,0.01,remote,2.002508801092965
0.01,0.01,remote,2.0134898865088413
0.01,0.01,remote,1.9617786783066302
0.01,0.01,remote,2.0095397252717007
0.01,0.01,remote,2.0356608267582934
0.01,0.01,remote,2.133839470456644
0.01,0.01,remote,2.1162347453073656
0.01,0.01,remote,1.9738157440641149
0.01,0.01,remote,1.9649967774798685
0.01,0.01,remote,1.9857807993247234
0.01,0.01,remote,2.1643413883155085
0.01,0.01,remote,2.1373399881953374
0.01,0.01,remote,1.9428402385201218
0.01,0.01,remote,1.9554313547386426
0.01,0.01,remote,2.1464412072661303
0.01,0.01,remote,1.983282930807637
0.01,0.01,remote,2.070017328557182
0.01,0.01,remote,1.9724893351704953
0.01,0.01,remote,2.0536593369350102
0.01,0.01,remote,1.932502378371954
0.01,0.01,remote,2.2478477856352903
0.01,0.01,remote,1.9668962927380649
0.01,0.01,remote,2.021284244433863
0.01,0.01,remote,1.9465721306443244
0.01,0.01,remote,1.813994786167963
0.01,0.01,remote,1.9483559441299518
0.01,0.01,remote,2.0986944318907472
0.01,0.01,remote,1.9858082564941737
0.01,0.01,remote,1.987442908151785
0.01,0.01,remote,2.012372777735597
0.01,0.01,remote,1.9571303630729164
0.01,0.01,remote,2.1756147678831703
0.01,0.01,remote,2.0558102429309444
0.01,0.01,remote,2.1176607658336164
0.01,0.01,remote,2.028071625668545
0.01,0.01,remote,1.854849201817923
0.01,0.01,remote,2.135790133198361
0.01,0.01,remote,2.050568883391489
0.01,0.01,remote,2.008808347005468
0.01,0.01,remote,2.12373301422716
0.01,0.01,remote,2.1993283538481347
0.01,0.01,remote,2.047684505577762
0.01,0.01,remote,2.2245979228383623
