alpha,gamma,hop length,entropy
0.01,0.01,2,0.001232871829696336
0.01,0.01,2,-0.011835070691077476
0.01,0.01,2,0.001557812771319611
0.01,0.01,2,0.010257540415298472
0.01,0.01,2,-0.02564308718850672
0.01,0.01,2,-0.03240055201899139
0.01,0.01,2,0.0016737498722236843
0.01,0.01,2,-0.006701666028787301
0.01,0.01,2,-0.03276280990446878
0.01,0.01,2,-0.0012180067573481779
0.01,0.01,2,-0.015761966850986298
0.01,0.01,2,-0.0002963947979446324
0.01,0.01,2,-0.01910826251986819
0.01,0.01,2,-0.008452475830760697
0.01,0.01,2,-0.015548103357164944
0.01,0.01,2,0.001555783512722897
0.01,0.01,2,-0.022335716798345118
0.01,0.01,2,-0.0006992927357547529
0.01,0.01,2,0.018003364549937118
0.01,0.01,2,-0.024574057720869735
0.01,0.01,2,-0.016611790179728914
0.01,0.01,2,0.02043521729746267
0.01,0.01,2,-0.0035310257042886484
0.01,0.01,2,-0.021069458753182335
0.01,0.01,2,-0.017835323549985738
0.01,0.01,2,-0.007844499116154147
0.01,0.01,2,-0.017104319236517007
0.01,0.01,2,0.008818149060517033
0.01,0.01,2,-0.004228695860057918
0.01,0.01,2,0.026812069539305483
0.01,0.01,2,-0.013342744936040152
0.01,0.01,2,-0.014906080669551347
0.01,0.01,2,-0.00803892562816877
0.01,0.01,2,-0.026453796197942747
0.01,0.01,2,-0.01795457169110115
0.01,0.01,2,0.008514575217385634
0.01,0.01,2,0.011918734945953968
0.01,0.01,2,3.040160289380367e-05
0.01,0.01,2,-0.022548713847017066
0.01,0.01,2,-0.005256498760256356
0.01,0.01,2,-0.015068093580156372
0.01,0.01,2,0.0008983410449667772
0.01,0.01,2,-0.024778658049529056
0.01,0.01,2,-0.01355941597856214
0.01,0.01,2,0.012341142418164974
0.01,0.01,2,-0.0019246331416837847
0.01,0.01,2,0.01321315271675072
0.01,0.01,2,0.010883260751109791
0.01,0.01,2,-0.0034626215491808665
0.01,0.01,2,-0.02794182165927106
0.01,0.01,2,-0.03703238387871055
0.01,0.01,2,0.04186947030361088
0.01,0.01,2,0.011901471860836121
0.01,0.01,2,0.011857519449221865
0.01,0.01,2,-0.014565693722560002
0.01,0.01,2,0.00556249399320885
0.01,0.01,2,0.012883154099808003
0.01,0.01,2,0.01475948768609614
0.01,0.01,2,0.027360416659406805
0.01,0.01,2,0.021193240471743646
0.01,0.01,2,-0.028574265960100043
0.01,0.01,3,-0.04903019570799527
0.01,0.01,3,-0.02475530385671787
0.01,0.01,3,0.030472778148446622
0.01,0.01,3,0.013748443649984399
0.01,0.01,3,-0.030605416796641194
0.01,0.01,3,-0.043162713250638696
0.01,0.01,3,0.0385180352664003
0.01,0.01,3,0.07333314827661619
0.01,0.01,3,0.00895914969749656
0.01,0.01,3,-0.10087009971332161
0.01,0.01,3,-0.01629004177608806
0.01,0.01,3,0.030019990479936087
0.01,0.01,3,0.06586307532726998
0.01,0.01,3,0.044004287476396176
0.01,0.01,3,0.003309889169513802
0.01,0.01,3,-0.03638840297984203
0.01,0.01,3,-0.0054497322929139
0.01,0.01,3,0.05317640173237104
0.01,0.01,3,0.001152775320565791
0.01,0.01,3,0.04331149159049463
0.01,0.01,3,0.009291958986457516
0.01,0.01,3,-0.04168709887837441
0.01,0.01,3,-0.05656791686483942
0.01,0.01,3,0.05440102983839523
0.01,0.01,3,-0.04208085249116822
0.01,0.01,3,0.014183815567591296
0.01,0.01,3,-0.0013310086799123155
0.01,0.01,3,0.03266908717828976
0.01,0.01,3,-0.03775848928671577
0.01,0.01,3,-0.0035812562446055907
0.01,0.01,3,-0.004176636207090745
0.01,0.01,3,-0.02342416385963153
0.01,0.01,3,0.037174250030264755
0.01,0.01,3,-0.03965671930124115
0.01,0.01,3,0.07150794128525417
0.01,0.01,3,0.02534147885028526
0.01,0.01,3,-0.06074898133956408
0.01,0.01,3,-0.026262693608166465
0.01,0.01,3,-0.0026941994230700317
0.01,0.01,3,0.012203757368144608
0.01,0.01,3,-0.02499328216499741
0.01,0.01,3,-0.019244631045298277
0.01,0.01,3,-0.015963390971588165
0.01,0.01,3,0.07400762431180175
0.01,0.01,3,-0.04869531353827172
0.01,0.01,3,-0.008392800964680092
0.01,0.01,3,-0.0021882471482466137
0.01,0.01,3,0.06203560726515045
0.01,0.01,3,0.006128427978082662
0.01,0.01,3,-0.0016312046467747976
0.01,0.01,3,0.028643989584517637
0.01,0.01,3,0.02012782489584586
0.01,0.01,3,-0.011097380677222546
0.01,0.01,3,0.04291877847678238
0.01,0.01,3,0.07091382298825089
0.01,0.01,3,-0.008233636245636777
0.01,0.01,3,-0.057908426712570904
0.01,0.01,3,-0.059467030687993194
0.01,0.01,3,0.001624250223942525
0.01,0.01,3,-0.048313678999384546
0.01,0.01,3,-0.05730050493126004
0.01,0.01,3,0.05579206078071852
0.01,0.01,3,-0.009363718468040183
0.01,0.01,3,-0.01621648590692093
0.01,0.01,3,-0.007028420151363957
0.01,0.01,3,-0.034229216999749124
0.01,0.01,3,-0.023197948979720273
0.01,0.01,3,0.07421016353443921
0.01,0.01,3,0.00022477474865256752
0.01,0.01,3,0.03680055312705344
0.01,0.01,3,0.024154746854863518
0.01,0.01,3,0.014145364537818228
0.01,0.01,3,-0.023765985444576643
0.01,0.01,3,0.009906834742158921
0.01,0.01,3,-0.014640376793937815
0.01,0.01,3,0.061606847799241304
0.01,0.01,3,0.016249492230053786
0.01,0.01,3,-0.08129018186558312
0.01,0.01,3,-0.023511332290228282
0.01,0.01,3,-0.04498438213481659
0.01,0.01,3,0.02030163610186264
0.01,0.01,3,-0.0032704054963170748
0.01,0.01,3,0.002626713045059237
0.01,0.01,3,-0.008716009112324397
0.01,0.01,3,0.04602984603781435
0.01,0.01,3,-0.0071800149800753665
0.01,0.01,3,0.045183147070731344
0.01,0.01,3,-0.035411677799946695
0.01,0.01,3,0.056211902526648316
0.01,0.01,3,-0.05123959868758732
0.01,0.01,3,0.11359713350102396
0.01,0.01,3,0.0033844615957803192
0.01,0.01,3,-0.03323078822415804
0.01,0.01,3,-0.06280320874468748
0.01,0.01,3,0.020957068739739793
0.01,0.01,3,-0.0028381836236772706
0.01,0.01,3,0.04050657993734896
0.01,0.01,3,-0.030842536487598604
0.01,0.01,3,-0.0003947202343095313
0.01,0.01,3,-0.025502771576846772
0.01,0.05,1,0.006548148238294971
0.01,0.05,1,0.02951498566275701
0.01,0.05,1,-4.9519874507630846e-05
0.01,0.05,1,-0.0014256903003957433
0.01,0.05,1,-0.007407608549122369
0.01,0.05,1,0.03537612555825831
0.01,0.05,1,-0.01030298298887189
0.01,0.05,1,-0.00794754414870047
0.01,0.05,1,-0.016224745370636118
0.01,0.05,1,0.0032474786347753692
0.01,0.05,1,0.01853370074818006
0.01,0.05,1,0.001421832137718404
0.01,0.05,1,-0.013506046638453562
0.01,0.05,1,0.022141345468218
0.01,0.05,1,0.018080613412763125
0.01,0.05,1,-0.029600773532763913
0.01,0.05,1,-0.0035815715415994376
0.01,0.05,1,-0.0329705134900502
0.01,0.05,1,0.030194766181062427
0.01,0.05,1,0.009091866396541803
0.01,0.05,1,-0.009697256940763843
0.01,0.05,1,0.0026747394159905014
0.01,0.05,1,-0.007678043758095665
0.01,0.05,1,0.010542797493157785
0.01,0.05,1,0.009021709063183891
0.01,0.05,1,0.01241292840395758
0.01,0.05,1,0.005469860052075948
0.01,0.05,1,-0.004120863855831658
0.01,0.05,1,-0.010863143247674678
0.01,0.05,1,0.01569292733996619
0.01,0.05,1,0.0031426416309217053
0.01,0.05,1,-0.0017580095125464545
0.01,0.05,1,0.016072123292817153
0.01,0.05,1,-0.003073474882617333
0.01,0.05,1,0.041984931736996245
0.01,0.05,1,0.0167400539689897
0.01,0.05,1,0.0016568346607130913
0.01,0.05,1,-0.006803510662506174
0.01,0.05,1,-0.013251183467787087
0.01,0.05,1,0.0010884056915245743
0.01,0.05,1,-0.011483724131995832
0.01,0.05,1,0.0014371663547847469
0.01,0.05,1,0.009857222606869609
0.01,0.05,1,-0.02451949015412147
0.01,0.05,1,-0.030982918097087975
0.01,0.05,1,0.0018048440436948532
0.01,0.05,1,-0.0067100236948487435
0.01,0.05,1,-0.031363513483976924
0.01,0.05,1,-0.0014346928137136672
0.01,0.05,1,-0.01540008680781435
0.01,0.05,1,-0.0003344348171232525
0.01,0.05,1,-0.017974628597138054
0.01,0.05,1,-0.008365785620957134
0.01,0.05,1,-0.015100308857243228
0.01,0.05,1,0.0011777744971492865
0.01,0.05,1,-0.021591535543814988
0.01,0.05,1,-0.0007422963877279365
0.01,0.05,1,0.017581805005948414
0.01,0.05,1,-0.02420310199150766
0.01,0.05,1,-0.016101893568055026
0.01,0.05,1,0.019583338464516764
0.01,0.05,1,-0.0033391907016344646
0.01,0.05,1,-0.01977317297804282
0.01,0.05,1,-0.017039687668517267
0.01,0.05,1,-0.007116837830564826
0.01,0.05,1,-0.01652722517116123
0.01,0.05,1,0.008340671861177817
0.01,0.05,1,-0.004098985299380686
0.01,0.05,1,0.026048356189062538
0.01,0.05,1,-0.012129758786376232
0.01,0.05,1,-0.014207542259977668
0.01,0.05,1,-0.00761290992717889
0.01,0.05,1,-0.025298273902446766
0.01,0.05,1,-0.01748424604557952
0.01,0.05,1,0.008539592489242409
0.01,0.05,1,0.011605973643487477
0.01,0.05,1,0.0001066401577318743
0.01,0.05,1,-0.02162967600833232
0.01,0.05,1,-0.004851668731904013
0.01,0.05,1,-0.014554549129250915
0.01,0.05,1,0.0006947067229732262
0.01,0.05,1,-0.023672974409394865
0.01,0.05,1,-0.01318828626919899
0.01,0.05,1,0.011910925288726837
0.01,0.05,1,-0.0018350377991249722
0.01,0.05,1,0.012723523485721255
0.01,0.05,1,0.010252468819532456
0.01,0.05,1,-0.003760393751945923
0.01,0.05,1,-0.026673360333915763
0.01,0.05,1,-0.03528404818263553
0.01,0.05,1,0.0404987147896545
0.01,0.05,1,0.011230175496437234
0.01,0.05,1,0.011487915647991898
0.01,0.05,1,-0.014243725295767451
0.01,0.05,1,0.005442436143737073
0.01,0.05,1,0.012804964930490215
0.01,0.05,1,0.014028959704109223
0.01,0.05,1,0.02590240438770719
0.01,0.05,1,0.02073545103326202
0.01,0.05,1,-0.027657667912514228
0.01,0.05,2,0.006548148238294971
0.01,0.05,2,0.02951498566275701
0.01,0.05,2,-4.9519874507630846e-05
0.01,0.05,2,-0.0014256903003957433
0.01,0.05,2,-0.007407608549122369
0.01,0.05,2,0.03537612555825831
0.01,0.05,2,-0.01030298298887189
0.01,0.05,2,-0.00794754414870047
0.01,0.05,2,-0.016224745370636118
0.01,0.05,2,0.0032474786347753692
0.01,0.05,2,0.01853370074818006
0.01,0.05,2,0.001421832137718404
0.01,0.05,2,-0.013506046638453562
0.01,0.05,2,0.022141345468218
0.01,0.05,2,0.018080613412763125
0.01,0.05,2,-0.029600773532763913
0.01,0.05,2,-0.0035815715415994376
0.01,0.05,2,-0.0329705134900502
0.01,0.05,2,0.030194766181062427
0.01,0.05,2,0.009091866396541803
0.01,0.05,2,-0.009697256940763843
0.01,0.05,2,0.0026747394159905014
0.01,0.05,2,-0.007678043758095665
0.01,0.05,2,0.010542797493157785
0.01,0.05,2,0.009021709063183891
0.01,0.05,2,0.01241292840395758
0.01,0.05,2,0.005469860052075948
0.01,0.05,2,-0.004120863855831658
0.01,0.05,2,-0.010863143247674678
0.01,0.05,2,0.01569292733996619
0.01,0.05,2,0.0031426416309217053
0.01,0.05,2,-0.0017580095125464545
0.01,0.05,2,0.016072123292817153
0.01,0.05,2,-0.003073474882617333
0.01,0.05,2,0.041984931736996245
0.01,0.05,2,0.0167400539689897
0.01,0.05,2,0.0016568346607130913
0.01,0.05,2,-0.006803510662506174
0.01,0.05,2,-0.013251183467787087
0.01,0.05,2,0.0010884056915245743
0.01,0.05,2,-0.011483724131995832
0.01,0.05,2,0.0014371663547847469
0.01,0.05,2,0.009857222606869609
0.01,0.05,2,-0.02451949015412147
0.01,0.05,2,-0.030982918097087975
0.01,0.05,2,0.0018048440436948532
0.01,0.05,2,-0.0067100236948487435
0.01,0.05,2,-0.031363513483976924
0.01,0.05,2,-0.0014346928137136672
0.01,0.05,2,-0.01540008680781435
0.01,0.05,2,-0.0003344348171232525
0.01,0.05,2,-0.017974628597138054
0.01,0.05,2,-0.008365785620957134
0.01,0.05,2,-0.015100308857243228
0.01,0.05,2,0.0011777744971492865
0.01,0.05,2,-0.021591535543814988
0.01,0.05,2,-0.0007422963877279365
0.01,0.05,2,0.017581805005948414
0.01,0.05,2,-0.02420310199150766
0.01,0.05,2,-0.016101893568055026
0.01,0.05,2,0.019583338464516764
0.01,0.05,2,-0.0033391907016344646
0.01,0.05,2,-0.01977317297804282
0.01,0.05,2,-0.017039687668517267
0.01,0.05,2,-0.007116837830564826
0.01,0.05,2,-0.01652722517116123
0.01,0.05,2,0.008340671861177817
0.01,0.05,2,-0.004098985299380686
0.01,0.05,2,0.026048356189062538
0.01,0.05,2,-0.012129758786376232
0.01,0.05,2,-0.014207542259977668
0.01,0.05,2,-0.00761290992717889
0.01,0.05,2,-0.025298273902446766
0.01,0.05,2,-0.01748424604557952
0.01,0.05,2,0.008539592489242409
0.01,0.05,2,0.011605973643487477
0.01,0.05,2,0.0001066401577318743
0.01,0.05,2,-0.02162967600833232
0.01,0.05,2,-0.004851668731904013
0.01,0.05,2,-0.014554549129250915
0.01,0.05,2,0.0006947067229732262
0.01,0.05,2,-0.023672974409394865
0.01,0.05,2,-0.01318828626919899
0.01,0.05,2,0.011910925288726837
0.01,0.05,2,-0.0018350377991249722
0.01,0.05,2,0.012723523485721255
0.01,0.05,2,0.010252468819532456
0.01,0.05,2,-0.003760393751945923
0.01,0.05,2,-0.026673360333915763
0.01,0.05,2,-0.03528404818263553
0.01,0.05,2,0.0404987147896545
0.01,0.05,2,0.011230175496437234
0.01,0.05,2,0.011487915647991898
0.01,0.05,2,-0.014243725295767451
0.01,0.05,2,0.005442436143737073
0.01,0.05,2,0.012804964930490215
0.01,0.05,2,0.014028959704109223
0.01,0.05,2,0.02590240438770719
0.01,0.05,2,0.02073545103326202
0.01,0.05,2,-0.027657667912514228
0.01,0.05,3,-0.045546618958806295
0.01,0.05,3,-0.02224867491120408
0.01,0.05,3,0.03281579387867195
0.01,0.05,3,0.015416111086349549
0.01,0.05,3,-0.02587257717157998
0.01,0.05,3,-0.040055235145051604
0.01,0.05,3,0.03881716634153953
0.01,0.05,3,0.07136780727449965
0.01,0.05,3,0.0085691878644778
0.01,0.05,3,-0.0925808877002452
0.01,0.05,3,-0.012604597130460249
0.01,0.05,3,0.03148361877842243
0.01,0.05,3,0.06254825528857788
0.01,0.05,3,0.04416194621227287
0.01,0.05,3,0.005601236999971171
0.01,0.05,3,-0.03309702696074579
0.01,0.05,3,-0.00368364487345918
0.01,0.05,3,0.05347474026640642
0.01,0.05,3,0.0021327407761959627
0.01,0.05,3,0.04459500441109343
0.01,0.05,3,0.01295007961951855
0.01,0.05,3,-0.03644536352304151
0.01,0.05,3,-0.05124247391969794
0.01,0.05,3,0.05519371171462062
0.01,0.05,3,-0.03895462955832585
0.01,0.05,3,0.014790224795671492
0.01,0.05,3,-8.673945952741846e-05
0.01,0.05,3,0.03403052094231063
0.01,0.05,3,-0.032016606106190615
0.01,0.05,3,-0.0013550633324221906
0.01,0.05,3,-0.0012901972859213906
0.01,0.05,3,-0.019403424217940834
0.01,0.05,3,0.03863742534764558
0.01,0.05,3,-0.03477578962862182
0.01,0.05,3,0.06965196219760017
0.01,0.05,3,0.02536940669503629
0.01,0.05,3,-0.055210810582115855
0.01,0.05,3,-0.023186840733282033
0.01,0.05,3,0.0003917294070636679
0.01,0.05,3,0.0126580492329178
0.01,0.05,3,-0.020436567433247177
0.01,0.05,3,-0.014767875245143003
0.01,0.05,3,-0.011764593659350897
0.01,0.05,3,0.0744959936017362
0.01,0.05,3,-0.043516446104755246
0.01,0.05,3,-0.006582475692891165
0.01,0.05,3,0.00044620546678642015
0.01,0.05,3,0.06089445928624038
0.01,0.05,3,0.006813945989373238
0.01,0.05,3,0.0016693951728030676
0.01,0.05,3,0.03009861688582527
0.01,0.05,3,0.022346499835937284
0.01,0.05,3,-0.009989243820087701
0.01,0.05,3,0.04364022093789144
0.01,0.05,3,0.07167695850505629
0.01,0.05,3,-0.006205510584298413
0.01,0.05,3,-0.052197444946670224
0.01,0.05,3,-0.05307634441214759
0.01,0.05,3,0.004522515932703808
0.01,0.05,3,-0.04342600516197459
0.01,0.05,3,-0.05325344720578329
0.01,0.05,3,0.05464428596048432
0.01,0.05,3,-0.006540017507445484
0.01,0.05,3,-0.012630075313034173
0.01,0.05,3,-0.00415623306550339
0.01,0.05,3,-0.032063003556619396
0.01,0.05,3,-0.020129082230888162
0.01,0.05,3,0.07540732823282692
0.01,0.05,3,0.0012548250148936013
0.01,0.05,3,0.03752171223921774
0.01,0.05,3,0.02610529958191332
0.01,0.05,3,0.017331974929789773
0.01,0.05,3,-0.018187462679974065
0.01,0.05,3,0.011531048165538405
0.01,0.05,3,-0.011576913093234609
0.01,0.05,3,0.05987671719733223
0.01,0.05,3,0.018478966062761337
0.01,0.05,3,-0.07457226954026863
0.01,0.05,3,-0.01916627694660633
0.01,0.05,3,-0.040864292209080055
0.01,0.05,3,0.021854505647527223
0.01,0.05,3,-9.337054344804585e-05
0.01,0.05,3,0.00407404422416402
0.01,0.05,3,-0.004932658533921774
0.01,0.05,3,0.04506769018996426
0.01,0.05,3,-0.004910155356372847
0.01,0.05,3,0.046155968572180406
0.01,0.05,3,-0.03221569029256299
0.01,0.05,3,0.05532285457278041
0.01,0.05,3,-0.04643034025708914
0.01,0.05,3,0.11000463643367997
0.01,0.05,3,0.005880681651344144
0.01,0.05,3,-0.02870523782978518
0.01,0.05,3,-0.05754332149485064
0.01,0.05,3,0.02254336919740263
0.01,0.05,3,-0.0010251075951939193
0.01,0.05,3,0.04185955328985669
0.01,0.05,3,-0.02726503270852465
0.01,0.05,3,0.002557570620611571
0.01,0.05,3,-0.022985111015522808
0.01,0.1,1,0.006603078314621147
0.01,0.1,1,0.028419537812090834
0.01,0.1,1,-0.0005828443346085344
0.01,0.1,1,-0.0018424534268342008
0.01,0.1,1,-0.006641174825487095
0.01,0.1,1,0.03362999126355204
0.01,0.1,1,-0.009615731822194107
0.01,0.1,1,-0.0072078791544676335
0.01,0.1,1,-0.015598661628859922
0.01,0.1,1,0.002727123695978495
0.01,0.1,1,0.01795994950946822
0.01,0.1,1,0.001226513792563999
0.01,0.1,1,-0.012750146550704944
0.01,0.1,1,0.020992778329125272
0.01,0.1,1,0.017574549985530208
0.01,0.1,1,-0.027831200712423954
0.01,0.1,1,-0.003283335259447906
0.01,0.1,1,-0.03176564979696561
0.01,0.1,1,0.028617093213409106
0.01,0.1,1,0.008573050356395218
0.01,0.1,1,-0.009159404008696193
0.01,0.1,1,0.002482937492050752
0.01,0.1,1,-0.007443726426723085
0.01,0.1,1,0.010378264648673419
0.01,0.1,1,0.008644049449396896
0.01,0.1,1,0.011983074373014713
0.01,0.1,1,0.005151851621672421
0.01,0.1,1,-0.003811852768337065
0.01,0.1,1,-0.009649151159532465
0.01,0.1,1,0.014734334075864997
0.01,0.1,1,0.00267596432388828
0.01,0.1,1,-0.001612357949602572
0.01,0.1,1,0.014979342259787032
0.01,0.1,1,-0.003074466057408465
0.01,0.1,1,0.03958162108819652
0.01,0.1,1,0.015429587553136503
0.01,0.1,1,0.001465780175121889
0.01,0.1,1,-0.006995809794309249
0.01,0.1,1,-0.012131021567507894
0.01,0.1,1,0.0009285681269095569
0.01,0.1,1,-0.011070106526582801
0.01,0.1,1,0.0013053918301562106
0.01,0.1,1,0.009371612931179385
0.01,0.1,1,-0.023228755479372865
0.01,0.1,1,-0.029310376995667298
0.01,0.1,1,0.001927290252013325
0.01,0.1,1,-0.006706207583795809
0.01,0.1,1,-0.02975589079279306
0.01,0.1,1,-0.0016750669780467575
0.01,0.1,1,-0.0149492718145261
0.01,0.1,1,-0.00040619853558121477
0.01,0.1,1,-0.01665881105788003
0.01,0.1,1,-0.008229431174471724
0.01,0.1,1,-0.014563403940038189
0.01,0.1,1,0.0007836249840189602
0.01,0.1,1,-0.02072744932752313
0.01,0.1,1,-0.0008019455108758677
0.01,0.1,1,0.0170717151194002
0.01,0.1,1,-0.02369796351751985
0.01,0.1,1,-0.015482341651627873
0.01,0.1,1,0.01857520713606453
0.01,0.1,1,-0.0031210978932327826
0.01,0.1,1,-0.018281661490173295
0.01,0.1,1,-0.016101127742179866
0.01,0.1,1,-0.006288236866103247
0.01,0.1,1,-0.015866936865755576
0.01,0.1,1,0.00776620469581113
0.01,0.1,1,-0.003948780340470304
0.01,0.1,1,0.025102695992177182
0.01,0.1,1,-0.010736148109495414
0.01,0.1,1,-0.013396622697403604
0.01,0.1,1,-0.007121214399154585
0.01,0.1,1,-0.023941982851388044
0.01,0.1,1,-0.016919632152927022
0.01,0.1,1,0.008551736025571799
0.01,0.1,1,0.01123952335118128
0.01,0.1,1,0.00019265555672554058
0.01,0.1,1,-0.020584640196312787
0.01,0.1,1,-0.00438650729056711
0.01,0.1,1,-0.013936314235054592
0.01,0.1,1,0.0004568702957894466
0.01,0.1,1,-0.022366149702520488
0.01,0.1,1,-0.012747022358842397
0.01,0.1,1,0.011410131548267977
0.01,0.1,1,-0.0017508336383449397
0.01,0.1,1,0.012164603189166456
0.01,0.1,1,0.009516151653494731
0.01,0.1,1,-0.004081383331936195
0.01,0.1,1,-0.025172450632525045
0.01,0.1,1,-0.033246541725992174
0.01,0.1,1,0.03887648704145619
0.01,0.1,1,0.010453809549228144
0.01,0.1,1,0.011056724823919062
0.01,0.1,1,-0.013852945686024132
0.01,0.1,1,0.005289126165979763
0.01,0.1,1,0.012533201163954288
0.01,0.1,1,0.013179580625948706
0.01,0.1,1,0.024223798992688117
0.01,0.1,1,0.020159667220412736
0.01,0.1,1,-0.02655529725087913
0.01,0.1,2,0.006603078314621147
0.01,0.1,2,0.028419537812090834
0.01,0.1,2,-0.0005828443346085344
0.01,0.1,2,-0.0018424534268342008
0.01,0.1,2,-0.006641174825487095
0.01,0.1,2,0.03362999126355204
0.01,0.1,2,-0.009615731822194107
0.01,0.1,2,-0.0072078791544676335
