trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,tool,correct_answer,distance matrix,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.14762336255808,73.14762336255808,73.14762336255808,73.14762336255808,73.14762336255808,73.14762336255808,s,1,1.0456726483389502,74.21419076244638,75.2474640487344,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2474640487344,75.2474640487344,75.2474640487344,75.2474640487344,75.2474640487344,75.2474640487344,s,1,0.8818063995131524,76.14739456400275,77.16398668500187,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.16398668500187,77.16398668500187,77.16398668500187,77.16398668500187,77.16398668500187,77.16398668500187,s,1,0.9732745074725244,78.16388918904704,79.19715915505367,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.19715915505367,79.19715915505367,79.19715915505367,79.19715915505367,79.19715915505367,79.19715915505367,s,1,0.6521225339238299,79.88044068170711,80.89705272448191,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.89705272448191,80.89705272448191,80.89705272448191,80.89705272448191,80.89705272448191,80.89705272448191,l,1,0.6482371843303554,81.56336935149739,82.59691731678322,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.59691731678322,82.59691731678322,82.59691731678322,82.59691731678322,82.59691731678322,82.59691731678322,s,1,0.6353831125306897,83.2635315630323,84.27980131350341,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.27980131350341,84.27980131350341,84.27980131350341,84.27980131350341,84.27980131350341,84.27980131350341,s,1,1.0805040588165866,85.38004073699994,86.39665972221701,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.39665972221701,86.39665972221701,86.39665972221701,86.39665972221701,86.39665972221701,86.39665972221701,l,1,0.8436559007677715,87.26325265818741,88.27954112306179,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.27954112306179,88.27954112306179,88.27954112306179,88.27954112306179,88.27954112306179,88.27954112306179,s,1,0.792785349447513,89.09643979789689,90.14637855354522,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.14637855354522,90.14637855354522,90.14637855354522,90.14637855354522,90.14637855354522,90.14637855354522,l,1,0.765967019717209,90.92964323725027,91.94625226156495,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94625226156495,91.94625226156495,91.94625226156495,91.94625226156495,91.94625226156495,91.94625226156495,s,1,0.6620991167728789,92.62952080888499,93.64613556826953,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.64613556826953,93.64613556826953,93.64613556826953,93.64613556826953,93.64613556826953,93.64613556826953,l,1,0.6742272512201453,94.34606626463938,95.36267891110037,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.36267891110037,95.36267891110037,95.36267891110037,95.36267891110037,95.36267891110037,95.36267891110037,l,1,0.9656894430081593,96.34591866240953,97.36252164983307,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.36252164983307,97.36252164983307,97.36252164983307,97.36252164983307,97.36252164983307,97.36252164983307,l,1,0.6528620543103898,98.04583487022319,99.07908702736313,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.07908702736313,99.07908702736313,99.07908702736313,99.07908702736313,99.07908702736313,99.07908702736313,s,1,0.58426082241931,99.69567679397005,100.71229698655952,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.71229698655952,100.71229698655952,100.71229698655952,100.71229698655952,100.71229698655952,100.71229698655952,l,1,0.7751008511841064,101.51222804514691,102.52883888053475,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.52883888053475,102.52883888053475,102.52883888053475,102.52883888053475,102.52883888053475,102.52883888053475,l,1,0.6225933337263996,103.17876018953393,104.19538792825188,,,,,329270,2023-05-16_15h10.52.968,eb_02psyexp,2022.2.4,60.00648433679932,
