trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,tool,correct_answer,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.92091635451652,138.92091635451652,138.92091635451652,138.92091635451652,138.92091635451652,138.92091635451652,s,1,0.4997290042228997,139.42928241332993,140.46271404903382,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.46271404903382,140.46271404903382,140.46271404903382,140.46271404903382,140.46271404903382,140.46271404903382,l,1,0.44496446184348315,140.92107361811213,141.93782988376915,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.93782988376915,141.93782988376915,141.93782988376915,141.93782988376915,141.93782988376915,141.93782988376915,s,1,0.6498888335190713,142.59622869326267,143.6213135883445,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.6213135883445,143.6213135883445,143.6213135883445,143.6213135883445,143.6213135883445,143.6213135883445,l,0,1.1584661868400872,144.7880715142237,145.80482989281882,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.80482989281882,145.80482989281882,145.80482989281882,145.80482989281882,145.80482989281882,145.80482989281882,l,0,1.4389854283072054,147.25492723926436,148.28004171559587,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.28004171559587,148.28004171559587,148.28004171559587,148.28004171559587,148.28004171559587,148.28004171559587,s,1,0.9237999870674685,149.21344497741666,150.23020909109619,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.23020909109619,150.23020909109619,150.23020909109619,150.23020909109619,150.23020909109619,150.23020909109619,s,1,0.48568606306798756,150.73024138901383,151.76367151539307,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.76367151539307,151.76367151539307,151.76367151539307,151.76367151539307,151.76367151539307,151.76367151539307,s,1,0.5282483422197402,152.30538318282925,153.32214820210356,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.32214820210356,153.32214820210356,153.32214820210356,153.32214820210356,153.32214820210356,153.32214820210356,l,1,1.0817958276020363,154.41388779052068,155.4306506968569,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4306506968569,155.4306506968569,155.4306506968569,155.4306506968569,155.4306506968569,155.4306506968569,s,1,0.7483255553524941,156.18904618604574,157.22246967174578,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.22246967174578,157.22246967174578,157.22246967174578,157.22246967174578,157.22246967174578,157.22246967174578,l,1,0.6205240151612088,157.85583912639413,158.88929008040577,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.88929008040577,158.88929008040577,158.88929008040577,158.88929008040577,158.88929008040577,158.88929008040577,s,1,0.4817722833249718,159.3809762414312,160.40609343454707,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.40609343454707,160.40609343454707,160.40609343454707,160.40609343454707,160.40609343454707,160.40609343454707,s,1,0.6609917611349374,161.08112052548677,162.09788524289615,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.09788524289615,162.09788524289615,162.09788524289615,162.09788524289615,162.09788524289615,162.09788524289615,s,1,0.513231031014584,162.62292154028546,163.65634925186168,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.65634925186168,163.65634925186168,163.65634925186168,163.65634925186168,163.65634925186168,163.65634925186168,l,1,0.4268052000552416,164.09804582677316,165.12314641813282,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.12314641813282,165.12314641813282,165.12314641813282,165.12314641813282,165.12314641813282,165.12314641813282,l,1,0.8880253961542621,166.02320588252041,167.05663812183775,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.05663812183775,167.05663812183775,167.05663812183775,167.05663812183775,167.05663812183775,167.05663812183775,s,1,0.7225729691563174,167.79002870596014,168.8151151103666,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.8151151103666,168.8151151103666,168.8151151103666,168.8151151103666,168.8151151103666,168.8151151103666,l,1,0.6441416202578694,169.47349912917707,170.50693317956757,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.50693317956757,170.50693317956757,170.50693317956757,170.50693317956757,170.50693317956757,170.50693317956757,s,1,0.7033593473024666,171.22364869562443,172.24041190370917,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.24041190370917,172.24041190370917,172.24041190370917,172.24041190370917,172.24041190370917,172.24041190370917,l,1,0.7619552644900978,173.01547340559773,174.04889990983065,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.04889990983065,174.04889990983065,174.04889990983065,174.04889990983065,174.04889990983065,174.04889990983065,s,1,0.6014749013120309,174.6655924852239,175.68238768936135,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
