trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,graph.started,debrief_text.started,debriefing_title.started,demo_scr_adv.started,demo_scr_adv_keypress.started,demo_scr_adv_keypress.keys,demo_scr_adv_keypress.rt,text_countdown_2.started,participant,date,expName,psychopyVersion,frameRate,
640,0,640,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632.932151267887,1632.932151267887,1632.932151267887,1632.932151267887,1632.932151267887,1632.932151267887,s,1,1.175895578111522,1634.1228400722612,1635.153424824588,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
641,0,641,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.153424824588,1635.153424824588,1635.153424824588,1635.153424824588,1635.153424824588,1635.153424824588,l,1,3.8176468468736857,1638.9857046180405,1640.006253022235,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
642,0,642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.006253022235,1640.006253022235,1640.006253022235,1640.006253022235,1640.006253022235,1640.006253022235,s,1,1.3648370014270768,1641.3870728213806,1642.417656366364,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
643,0,643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.417656366364,1642.417656366364,1642.417656366364,1642.417656366364,1642.417656366364,1642.417656366364,l,1,2.1614999836310744,1644.5989423952997,1645.6295259402832,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
644,0,644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645.6295259402832,1645.6295259402832,1645.6295259402832,1645.6295259402832,1645.6295259402832,1645.6295259402832,s,1,0.9176137043396011,1646.5600943326717,1647.5806626585545,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
645,0,645,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.5806626585545,1647.5806626585545,1647.5806626585545,1647.5806626585545,1647.5806626585545,1647.5806626585545,l,1,0.8224664069712162,1648.4211822184734,1649.4517530859448,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
646,0,646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649.4517530859448,1649.4517530859448,1649.4517530859448,1649.4517530859448,1649.4517530859448,1649.4517530859448,s,1,0.8553838179213926,1650.3222905331058,1651.3528783039656,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
647,0,647,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.3528783039656,1651.3528783039656,1651.3528783039656,1651.3528783039656,1651.3528783039656,1651.3528783039656,s,1,0.8972931931493804,1652.2634065991733,1653.2839785473188,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
648,0,648,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.2839785473188,1653.2839785473188,1653.2839785473188,1653.2839785473188,1653.2839785473188,1653.2839785473188,l,1,0.9101780531927943,1654.204537757556,1655.2251570953522,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
649,0,649,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655.2251570953522,1655.2251570953522,1655.2251570953522,1655.2251570953522,1655.2251570953522,1655.2251570953522,s,1,1.600991217768751,1656.836070363759,1657.8566471413942,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
650,0,650,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.8566471413942,1657.8566471413942,1657.8566471413942,1657.8566471413942,1657.8566471413942,1657.8566471413942,l,1,3.1055530019802973,1660.9784893138567,1662.0091265871888,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
651,0,651,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.0091265871888,1662.0091265871888,1662.0091265871888,1662.0091265871888,1662.0091265871888,1662.0091265871888,s,1,1.0010949919233099,1663.029671067372,1664.0602778544417,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
652,0,652,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.0602778544417,1664.0602778544417,1664.0602778544417,1664.0602778544417,1664.0602778544417,1664.0602778544417,l,1,1.2219613598426804,1665.3009823849425,1666.3315831350628,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
653,0,653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.3315831350628,1666.3315831350628,1666.3315831350628,1666.3315831350628,1666.3315831350628,1666.3315831350628,s,1,1.1176449151244015,1667.4622572939843,1668.4928432536544,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
