trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,distance matrix,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,reveal_seq_text.started,start_test_text.started,continue_to_test.started,continue_to_test.keys,continue_to_test.rt,test_structure_info.started,start_test_text_2.started,continue_to_test_2.started,continue_to_test_2.keys,continue_to_test_2.rt,test_cntdown_text.started,test_cntdown_text.stopped,parent index,left child index,right child index,left distance,right distance,parent_image.started,top_image_text.started,left_child_image.started,right_child_image.started,path_resp.started,child_choice_text.started,left_choice_text.started,right_choice_text.started,path_resp.keys,path_resp.rt,graph.started,debrief_text.started,debriefing_title.started,demo_scr_adv.started,demo_scr_adv_keypress.started,demo_scr_adv_keypress.keys,demo_scr_adv_keypress.rt,text_countdown_2.started,participant,date,expName,psychopyVersion,frameRate,
151,0,151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.9605180626968,446.9605180626968,446.9605180626968,446.9605180626968,446.9605180626968,446.9605180626968,s,1,0.44078751804772764,447.42715060082264,448.4437720007263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
152,0,152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.4437720007263,448.4437720007263,448.4437720007263,448.4437720007263,448.4437720007263,448.4437720007263,l,1,0.3575374436331913,448.82704700762406,449.8603142569773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
153,0,153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.8603142569773,449.8603142569773,449.8603142569773,449.8603142569773,449.8603142569773,449.8603142569773,s,1,0.3409857698716223,450.2269358682679,451.2435451943893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
154,0,154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.2435451943893,451.2435451943893,451.2435451943893,451.2435451943893,451.2435451943893,451.2435451943893,s,1,0.34981171949766576,451.6101652964717,452.6434198683128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
155,0,155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.6434198683128,452.6434198683128,452.6434198683128,452.6434198683128,452.6434198683128,452.6434198683128,s,1,0.5259150688070804,453.1933749235468,454.209974288824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
156,0,156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.209974288824,454.209974288824,454.209974288824,454.209974288824,454.209974288824,454.209974288824,l,1,0.4073596871457994,454.6432662291918,455.65986710367724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
157,0,157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.65986710367724,455.65986710367724,455.65986710367724,455.65986710367724,455.65986710367724,455.65986710367724,l,1,0.4694615912158042,456.15981669561006,457.176409722073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
158,0,158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.176409722073,457.176409722073,457.176409722073,457.176409722073,457.176409722073,457.176409722073,l,1,0.368924246635288,457.5764235466486,458.60962921963073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
159,0,159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.60962921963073,458.60962921963073,458.60962921963073,458.60962921963073,458.60962921963073,458.60962921963073,l,0,0.38274361891672015,459.0095911268145,460.0262037732173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
160,0,160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0262037732173,460.0262037732173,460.0262037732173,460.0262037732173,460.0262037732173,460.0262037732173,l,1,0.5021505055483431,460.55947253177874,461.59273132961243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
