index,stimulus,correct_answer,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,display_row.thisRepN,display_row.thisTrialN,display_row.thisN,display_row.thisIndex,pair_questions.thisRepN,pair_questions.thisTrialN,pair_questions.thisN,pair_questions.thisIndex,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,instructions_1_keypress.started,instructions_1_text.started,instructions_1_keypress.keys,instructions_1_keypress.rt,instructions_2_keypress.started,instructions_2_text.started,instructions_2_keypress.keys,instructions_2_keypress.rt,text_countdown.started,image.started,size_question.started,size_resp.started,keypress_options.started,size_resp.keys,size_resp.corr,size_resp.rt,fb_image.started,fb.started,fb_size_question.started,fb_image.stopped,fb.stopped,fb_size_question.stopped,block_break_text.started,block_break_keypress.started,block_break_keypress.keys,block_break_keypress.rt,seq_reveal.started,seq_reveal_adv.started,seq_reveal_adv.keys,seq_reveal_adv.rt,instruction_2afc_text.started,instruction_2afc_keypress.started,instruction_2afc_keypress.keys,instruction_2afc_keypress.rt,dist_2afc_test.started,dist_2afc_resp.started,text.started,stim_00.started,stim_01.started,stim_10.started,stim_11.started,dist_2afc_resp.keys,dist_2afc_resp.rt,graph.started,debrief_text.started,debriefing_title.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,12.798177170188865,12.798177170188865,return,33.16910697647836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
,,,,,,,,,,,,,,,,,,,,,,,45.996567629714264,45.996567629714264,return,10.963076617917977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,56.979370763292536,56.979370763292536,space,6.755517977697309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
4,stimuli/4.png,l,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,63.7790460298711,68.81216986716026,68.81216986716026,68.81216986716026,68.81216986716026,l,1,3.5149580524885096,72.36199206067249,72.36199206067249,72.36199206067249,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
2,stimuli/2.png,s,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,73.37830479966942,73.37830479966942,73.37830479966942,73.37830479966942,s,1,3.0599515037902165,76.46180186310085,76.46180186310085,76.46180186310085,77.47841675693053,77.47841675693053,77.47841675693053,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
3,stimuli/3.png,l,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,77.47841675693053,77.47841675693053,77.47841675693053,77.47841675693053,l,1,4.71201643475797,82.2115367607039,82.2115367607039,82.2115367607039,83.21149027533829,83.21149027533829,83.21149027533829,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
2,stimuli/2.png,s,0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,83.21149027533829,83.21149027533829,83.21149027533829,83.21149027533829,s,1,2.515092377056135,85.7447177991562,85.7447177991562,85.7447177991562,86.7613209207484,86.7613209207484,86.7613209207484,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2023-03-03_11h46.50.661,eb_01,2022.2.4,60.00219153212062,
