index,stimulus,correct_answer,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,display_row.thisRepN,display_row.thisTrialN,display_row.thisN,display_row.thisIndex,pair_questions.thisRepN,pair_questions.thisTrialN,pair_questions.thisN,pair_questions.thisIndex,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,instructions_1_keypress.started,instructions_1_text.started,instructions_1_keypress.keys,instructions_1_keypress.rt,instructions_2_keypress.started,instructions_2_text.started,instructions_2_keypress.keys,instructions_2_keypress.rt,text_countdown.started,image.started,size_question.started,size_resp.started,keypress_options.started,size_resp.keys,size_resp.corr,size_resp.rt,fb_image.started,fb.started,fb_size_question.started,fb_image.stopped,fb.stopped,fb_size_question.stopped,block_break_text.started,block_break_keypress.started,block_break_keypress.keys,block_break_keypress.rt,seq_reveal.started,seq_reveal_adv.started,seq_reveal_adv.keys,seq_reveal_adv.rt,instruction_2afc_text.started,instruction_2afc_keypress.started,instruction_2afc_keypress.keys,instruction_2afc_keypress.rt,dist_2afc_test.started,dist_2afc_resp.started,text.started,stim_00.started,stim_01.started,stim_10.started,stim_11.started,dist_2afc_resp.keys,dist_2afc_resp.rt,graph.started,debrief_text.started,debriefing_title.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
5,stimuli/5.png,s,0,0,0,0,7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,200.00403693430417,200.00403693430417,200.00403693430417,200.00403693430417,s,1,0.6308545194333419,200.65408326819306,200.65408326819306,200.65408326819306,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,8,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,201.67079999155249,201.67079999155249,201.67079999155249,201.67079999155249,l,1,0.5961342885711929,202.29590903465578,202.29590903465578,202.29590903465578,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
5,stimuli/5.png,s,0,0,0,0,9,0,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,203.29595944350876,203.29595944350876,203.29595944350876,203.29595944350876,s,1,0.5229656845331192,203.83766869609826,203.83766869609826,203.83766869609826,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,10,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,204.85440836002817,204.85440836002817,204.85440836002817,204.85440836002817,l,1,0.5165604396024719,205.39611549966503,205.39611549966503,205.39611549966503,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
8,stimuli/8.png,l,0,0,0,0,11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,206.39622295806475,206.39622295806475,206.39622295806475,206.39622295806475,l,1,0.6307654738484416,207.04629525101336,207.04629525101336,207.04629525101336,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,208.06302887793572,208.06302887793572,208.06302887793572,208.06302887793572,l,1,0.5799992290703813,208.67141395329963,208.67141395329963,208.67141395329963,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
6,stimuli/6.png,s,0,0,0,0,13,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,209.68818229291355,209.68818229291355,209.68818229291355,209.68818229291355,s,1,0.6108823499380378,210.32987011419027,210.32987011419027,210.32987011419027,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
8,stimuli/8.png,l,0,0,0,0,14,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,211.33831193724473,211.33831193724473,211.33831193724473,211.33831193724473,l,1,0.4807819246489089,211.83834664992173,211.83834664992173,211.83834664992173,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
6,stimuli/6.png,s,0,0,0,0,15,0,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,212.86343516728084,212.86343516728084,212.86343516728084,212.86343516728084,s,1,0.5146660325699486,213.40518003809848,213.40518003809848,213.40518003809848,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
8,stimuli/8.png,l,0,0,0,0,16,0,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,214.40523225805373,214.40523225805373,214.40523225805373,214.40523225805373,l,1,0.517003856410156,214.94694603838434,214.94694603838434,214.94694603838434,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
6,stimuli/6.png,s,0,0,0,0,17,0,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,215.97203425387852,215.97203425387852,215.97203425387852,215.97203425387852,s,1,0.46212732793355826,216.46374395924795,216.46374395924795,216.46374395924795,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,18,0,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,217.47219031002896,217.47219031002896,217.47219031002896,217.47219031002896,l,1,0.5300443555606762,218.03054082363087,218.03054082363087,218.03054082363087,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
5,stimuli/5.png,s,0,0,0,0,19,0,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,219.0306295673654,219.0306295673654,219.0306295673654,219.0306295673654,s,1,0.3876761656574672,219.43900860572467,219.43900860572467,219.43900860572467,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
6,stimuli/6.png,s,0,0,0,0,20,0,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,220.4640847472474,220.4640847472474,220.4640847472474,220.4640847472474,s,1,0.5861862368619768,221.08080177246302,221.08080177246302,221.08080177246302,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
5,stimuli/5.png,s,0,0,0,0,21,0,21,0,0,0,0,0,,,,,,,,,,,,,,,,,,222.08089021434716,222.08089021434716,222.08089021434716,222.08089021434716,s,1,0.561423415056197,222.66425257553055,222.66425257553055,222.66425257553055,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,22,0,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,223.68102574473596,223.68102574473596,223.68102574473596,223.68102574473596,l,1,0.425470129281166,224.16442704451038,224.16442704451038,224.16442704451038,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
6,stimuli/6.png,s,0,0,0,0,23,0,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,225.18115372890315,225.18115372890315,225.18115372890315,225.18115372890315,s,1,0.4692401079373667,225.68119327117165,225.68119327117165,225.68119327117165,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,24,0,24,0,0,0,0,0,,,,,,,,,,,,,,,,,,226.68961668141128,226.68961668141128,226.68961668141128,226.68961668141128,s,0,0.40879445742757525,227.131312652622,227.131312652622,227.131312652622,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
5,stimuli/5.png,s,0,0,0,0,25,0,25,0,0,0,0,0,,,,,,,,,,,,,,,,,,228.13143731643504,228.13143731643504,228.13143731643504,228.13143731643504,s,1,0.5980253752641147,228.74814015472657,228.74814015472657,228.74814015472657,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,26,0,26,0,0,0,0,0,,,,,,,,,,,,,,,,,,229.76487257426197,229.76487257426197,229.76487257426197,229.76487257426197,l,1,0.46059725317172706,230.25659616470512,230.25659616470512,230.25659616470512,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
8,stimuli/8.png,l,0,0,0,0,27,0,27,0,0,0,0,0,,,,,,,,,,,,,,,,,,231.25665532718995,231.25665532718995,231.25665532718995,231.25665532718995,l,1,0.4888322489860002,231.7650443265884,231.7650443265884,231.7650443265884,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
6,stimuli/6.png,s,0,0,0,0,28,0,28,0,0,0,0,0,,,,,,,,,,,,,,,,,,232.7901334476337,232.7901334476337,232.7901334476337,232.7901334476337,s,1,0.48356618380057625,233.2985278803244,233.2985278803244,233.2985278803244,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,29,0,29,0,0,0,0,0,,,,,,,,,,,,,,,,,,234.30692774630734,234.30692774630734,234.30692774630734,234.30692774630734,l,1,0.5266349662269931,234.8653102559474,234.8653102559474,234.8653102559474,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
5,stimuli/5.png,s,0,0,0,0,30,0,30,0,0,0,0,0,,,,,,,,,,,,,,,,,,235.86539899968193,235.86539899968193,235.86539899968193,235.86539899968193,s,1,0.40024306303530466,236.29043408967846,236.29043408967846,236.29043408967846,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
9,stimuli/9.png,l,0,0,0,0,31,0,31,0,0,0,0,0,,,,,,,,,,,,,,,,,,237.30716832030157,237.30716832030157,237.30716832030157,237.30716832030157,l,1,0.5104516108112875,237.84887817659182,237.84887817659182,237.84887817659182,,,,,,,,,,,,,,,,,,,,,,,,,,,,279817,001,2010-10-14_16h05.54.288,eb_01,2022.2.4,120.01253410530664,
