index,stimulus,correct_answer,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,display_row.thisRepN,display_row.thisTrialN,display_row.thisN,display_row.thisIndex,pair_questions.thisRepN,pair_questions.thisTrialN,pair_questions.thisN,pair_questions.thisIndex,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,instructions_1_keypress.started,instructions_1_text.started,instructions_1_keypress.keys,instructions_1_keypress.rt,instructions_2_keypress.started,instructions_2_text.started,instructions_2_keypress.keys,instructions_2_keypress.rt,text_countdown.started,image.started,size_question.started,size_resp.started,keypress_options.started,size_resp.keys,size_resp.corr,size_resp.rt,fb_image.started,fb.started,fb_size_question.started,fb_image.stopped,fb.stopped,fb_size_question.stopped,block_break_text.started,block_break_keypress.started,block_break_keypress.keys,block_break_keypress.rt,seq_reveal.started,seq_reveal_adv.started,seq_reveal_adv.keys,seq_reveal_adv.rt,instruction_2afc_text.started,instruction_2afc_keypress.started,instruction_2afc_keypress.keys,instruction_2afc_keypress.rt,dist_2afc_test.started,dist_2afc_resp.started,text.started,stim_00.started,stim_01.started,stim_10.started,stim_11.started,dist_2afc_resp.keys,dist_2afc_resp.rt,graph.started,debrief_text.started,debriefing_title.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,19.92528165402473,19.92528165402473,return,194.68337702966528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
,,,,,,,,,,,,,,,,,,,,,,,214.62010552271386,214.62010552271386,return,11.227972740714904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
,,,,,,,,,,,,,,,,,,,,,,,,,,,225.8629390906426,225.8629390906426,space,6.50542644286179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
3,stimuli/3.png,l,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,232.38865402835654,237.40584139112616,237.40584139112616,237.40584139112616,237.40584139112616,l,1,1.0657464219839312,238.48928940447513,238.48928940447513,238.48928940447513,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
4,stimuli/4.png,l,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,239.50609491975047,239.50609491975047,239.50609491975047,239.50609491975047,l,1,1.8136027181753889,241.33960700198077,241.33960700198077,241.33960700198077,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
1,stimuli/1.png,s,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,242.3647229070193,242.3647229070193,242.3647229070193,242.3647229070193,l,0,0.8350682820018847,243.23149043373996,243.23149043373996,243.23149043373996,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
4,stimuli/4.png,l,0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,244.23994601611048,244.23994601611048,244.23994601611048,244.23994601611048,l,1,0.8159463259507902,245.07335244884598,245.07335244884598,245.07335244884598,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,001,2023-03-03_12h03.50.705,eb_01,2022.2.4,119.96136284611737,
