index,stimulus,correct_answer,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,display_row.thisRepN,display_row.thisTrialN,display_row.thisN,display_row.thisIndex,pair_questions.thisRepN,pair_questions.thisTrialN,pair_questions.thisN,pair_questions.thisIndex,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,instructions_1_keypress.started,instructions_1_text.started,instructions_1_keypress.keys,instructions_1_keypress.rt,instructions_2_keypress.started,instructions_2_text.started,instructions_2_keypress.keys,instructions_2_keypress.rt,text_countdown.started,image.started,size_question.started,size_resp.started,keypress_options.started,size_resp.keys,size_resp.corr,size_resp.rt,fb_image.started,fb.started,fb_size_question.started,fb_image.stopped,fb.stopped,fb_size_question.stopped,block_break_text.started,block_break_keypress.started,block_break_keypress.keys,block_break_keypress.rt,seq_reveal.started,seq_reveal_adv.started,seq_reveal_adv.keys,seq_reveal_adv.rt,instruction_2afc_text.started,instruction_2afc_keypress.started,instruction_2afc_keypress.keys,instruction_2afc_keypress.rt,dist_2afc_test.started,dist_2afc_resp.started,text.started,stim_00.started,stim_01.started,stim_10.started,stim_11.started,dist_2afc_resp.keys,dist_2afc_resp.rt,graph.started,debrief_text.started,debriefing_title.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,17.14751522750703,17.14751522750703,return,4.005745021957409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,,,,,,,,,,,,,,,,,,,,,21.169940768246306,21.169940768246306,return,73.69159336295343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,,,,,,,,,,,,,,,,,,,,,,,,,94.87443761830582,94.87443761830582,space,11.786368393672092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
9,stimuli/9.png,l,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,106.68155152601139,111.70463570042011,111.70463570042011,111.70463570042011,111.70463570042011,l,1,1.6682556357100111,113.40561329751836,113.40561329751836,113.40561329751836,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
8,stimuli/8.png,l,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,114.40594623653669,114.40594623653669,114.40594623653669,114.40594623653669,l,1,0.9829349260871822,115.41687285442276,115.41687285442276,115.41687285442276,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
3,stimuli/3.png,l,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,116.44716939955288,116.44716939955288,116.44716939955288,116.44716939955288,l,1,0.7097619327232678,117.16758755647243,117.16758755647243,117.16758755647243,118.17818998895018,118.17818998895018,118.17818998895018,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
4,stimuli/4.png,l,0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,118.17818998895018,118.17818998895018,118.17818998895018,118.17818998895018,l,1,1.3787834210252186,119.5793956930429,119.5793956930429,119.5793956930429,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
1,stimuli/1.png,s,0,0,0,0,4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,120.5996910881313,120.5996910881313,120.5996910881313,120.5996910881313,s,1,1.157324037321814,121.79074284641501,121.79074284641501,121.79074284641501,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
4,stimuli/4.png,l,0,0,0,0,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,122.79101360461937,122.79101360461937,122.79101360461937,122.79101360461937,l,1,0.7730233647125715,123.59183276137992,123.59183276137992,123.59183276137992,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
3,stimuli/3.png,l,0,0,0,0,6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,124.6024424382249,124.6024424382249,124.6024424382249,124.6024424382249,l,1,0.6896053879972897,125.30253924107456,125.30253924107456,125.30253924107456,126.31351204179737,126.31351204179737,126.31351204179737,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
8,stimuli/8.png,l,0,0,0,0,7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,126.31351204179737,126.31351204179737,126.31351204179737,126.31351204179737,l,1,0.6665999960750923,127.00388418793227,127.00388418793227,127.00388418793227,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
3,stimuli/3.png,l,0,0,0,0,8,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,128.0145207293026,128.0145207293026,128.0145207293026,128.0145207293026,l,1,0.6296087505907053,128.65456414720757,128.65456414720757,128.65456414720757,129.66516114640945,129.66516114640945,129.66516114640945,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
8,stimuli/8.png,l,0,0,0,0,9,0,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,129.66516114640945,129.66516114640945,129.66516114640945,129.66516114640945,l,1,0.7149923654633312,130.40594412359678,130.40594412359678,130.40594412359678,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
9,stimuli/9.png,l,0,0,0,0,10,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,131.42657487249198,131.42657487249198,131.42657487249198,131.42657487249198,l,1,0.7536350247009977,132.20671739936915,132.20671739936915,132.20671739936915,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
8,stimuli/8.png,l,0,0,0,0,11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,133.21764975237784,133.21764975237784,133.21764975237784,133.21764975237784,l,1,0.5785555856928113,133.81799826678434,133.81799826678434,133.81799826678434,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
9,stimuli/9.png,l,0,0,0,0,12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,134.83867761330657,134.83867761330657,134.83867761330657,134.83867761330657,l,1,0.6615687834200799,135.52874579789022,135.52874579789022,135.52874579789022,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
8,stimuli/8.png,l,0,0,0,0,13,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,136.53969928030165,136.53969928030165,136.53969928030165,136.53969928030165,l,1,0.751650671929383,137.32011407462778,137.32011407462778,137.32011407462778,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
3,stimuli/3.png,l,0,0,0,0,14,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,138.3307219403796,138.3307219403796,138.3307219403796,138.3307219403796,l,1,0.5606188356559869,138.91079226506918,138.91079226506918,138.91079226506918,139.9217206940466,139.9217206940466,139.9217206940466,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
2,stimuli/2.png,s,0,0,0,0,15,0,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,139.9217206940466,139.9217206940466,139.9217206940466,139.9217206940466,l,0,3.409695737324,143.35383629964963,143.35383629964963,143.35383629964963,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
1,stimuli/1.png,s,0,0,0,0,16,0,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,144.37439701966832,144.37439701966832,144.37439701966832,144.37439701966832,s,1,0.8930278079242271,145.30497576306516,145.30497576306516,145.30497576306516,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,001,2023-03-01_12h27.37.238,eb_01,2022.2.4,99.95652252674164,
